X	Y	Z	ID
0	20	40	-1380646
5	100	115	-6946588
20	60	80	-4587308
20	110	30	-7792503
25	40	130	-6094711
25	40	60	-1441637
25	150	70	-1965982
35	100	140	-4849639
35	80	100	-2363670
40	120	20	-6722844
40	100	50	-4302366
50	50	50	-7533201
50	80	160	-181913
50	110	130	-4933962
60	112	30	-3669816
60	100	150	-9568198
60	180	20	-5100192
70	30	30	-786432
70	120	60	-6406987
75	100	100	-8110994
75	50	90	-4844442
80	130	130	-2675669
80	100	60	-2076011
90	150	50	-8257535
90	80	80	-6580530
90	40	70	-2382602
100	95	100	-1878002
105	100	100	-7429410
110	20	40	-6052668
110	50	100	-2912672
110	140	60	-8630473
110	160	130	-8235476
110	140	180	-2989056
120	30	120	-13147012
120	40	80	-8735588
130	15	190	-3161843
140	180	160	-9390666
140	30	60	-3289287
140	140	30	-1807027
150	50	140	-11345762
150	170	190	-1077216
160	150	30	-9915372
160	120	100	-8093054
160	100	40	-16726784
170	100	100	-12976690
170	30	50	-1123617
170	80	90	-4527360
180	50	130	-2106386
190	170	90	-3886504
190	190	20	-5276534
199	199	199
